terrainID,position,direction,average_power,power_group
aa5e,4,9,14.52638,0
aa1e,4,23,65.86491,0
aa1e,4,24,35.94808,0
aa40,0,6,51.06652,0
aa1e,4,25,11.95843,0
aa1e,4,27,22.08925,0
aa1e,4,28,13.88077,0
aa3z,4,8,16.21093,0
aa3z,4,7,36.36428,0
aa3z,4,6,61.0112,0
aa1e,4,29,51.7375,0
aa3z,4,29,52.59717,0
aa3z,4,28,11.34709,0
aa3z,4,27,30.27044,0
aa3z,4,25,15.64271,0
aa3z,4,24,40.65445,0
aa3z,4,23,67.53638,0
aa1e,4,7,49.80698,0
aa1e,4,8,20.05055,0
aa3z,4,12,38.01057,0
aa3z,4,11,9.955071,0
aa3z,4,10,38.52183,0
aa3z,3,6,37.31333,0
aa1f,1,3,65.0218,0
aa1e,4,12,50.8051,0
aa1e,4,11,9.769679,0
aa40,2,3,50.98803,0
aa1e,4,10,24.28109,0
aa41,1,3,56.97587,0
aa1d,4,23,65.43798,0
aa1d,4,24,32.4128,0
aa1d,4,26,23.95734,0
aa1d,4,27,10.12442,0
aa1d,4,28,37.34813,0
aa41,0,6,50.09006,0
aa40,4,9,51.76335,0
aa40,4,7,39.06165,0
aa1d,4,5,63.21845,0
aa1d,4,6,50.40948,0
aa1f,2,3,68.86478,0
aa1d,4,9,32.23596,0
aa40,4,27,6.444059,0
aa40,4,26,34.48396,0
aa40,4,24,32.59903,0
aa40,4,23,64.13097,0
aa1e,0,6,67.39786,0
aa1e,1,3,68.45518,0
aa1e,2,3,51.20226,0
aa40,4,11,26.42047,0
aa40,4,10,7.552518,0
aa40,3,6,60.78167,0
aa1e,3,6,56.28407,0
aa40,4,28,31.2767,0
aa41,2,3,48.4634,0
aa3z,1,3,51.77921,0
aa1f,4,10,31.77818,0
aa3x,4,6,48.98671,0
aa1g,4,10,5.083814,0
aa1g,4,11,31.38726,0
aa3x,4,28,34.3958,0
aa3x,4,27,7.177272,0
aa3x,4,26,35.31702,0
aa3x,4,24,31.94464,0
aa3x,4,23,64.43321,0
aa1g,4,23,60.34822,0
aa1g,4,24,28.06112,0
aa1g,4,26,22.75637,0
aa1g,4,27,14.26077,0
aa1g,4,28,69.34625,0
aa3x,4,11,28.73991,0
aa3x,4,10,6.469179,0
aa1g,4,6,58.03527,0
aa1g,4,7,27.38235,0
aa3x,3,6,45.70906,0
aa1g,4,9,24.86377,0
aa3x,2,3,61.27286,0
aa1h,0,6,59.10496,0
aa3x,1,3,51.38531,0
aa1h,1,3,59.87196,0
aa3x,4,7,26.54594,0
aa3x,4,9,36.25603,0
aa1g,3,6,47.47447,0
aa3y,0,6,49.39024,0
aa1f,4,11,8.390253,0
aa1f,4,12,48.0986,0
aa3y,4,9,58.20484,0
aa3y,4,8,12.39027,0
aa3y,4,7,34.15657,0
aa3y,4,6,67.3501,0
aa1f,4,23,70.21311,0
aa1f,4,24,40.93328,0
aa1f,4,25,15.42651,0
aa1f,4,27,30.57813,0
aa3y,4,29,32.31669,0
aa1f,3,6,56.6549,0
aa3y,4,28,7.18278,0
aa1f,4,28,8.774733,0
aa3y,4,24,34.9909,0
aa3y,4,23,60.54895,0
aa1f,4,29,40.1706,0
aa3y,4,11,21.25484,0
aa3y,4,10,10.84906,0
aa1f,4,7,46.77364,0
aa3y,3,6,67.07384,0
aa1f,4,8,19.29631,0
aa3y,2,3,50.52658,0
aa1g,1,3,49.64398,0
aa3y,4,27,25.68179,0
aa1h,2,3,45.37502,0
aa1d,4,11,56.59518,0
aa1d,4,10,11.17807,0
aa1a,4,10,28.09071,0
aa1a,4,11,14.03381,0
aa1a,4,12,66.63096,0
aa44,0,6,65.15953,0
aa1a,4,24,41.98014,0
aa43,4,9,14.32394,0
aa43,4,8,56.99606,0
aa1a,4,25,23.37048,0
aa43,4,6,39.45066,0
aa43,4,5,64.44407,0
aa1a,4,27,35.52002,0
aa1a,4,28,17.00616,0
aa43,4,28,49.36477,0
aa43,4,27,8.89084,0
aa43,4,26,19.69674,0
aa43,4,24,24.74776,0
aa43,4,23,56.44946,0
aa1a,4,7,54.70943,0
aa1a,4,8,23.85747,0
aa1b,0,6,39.87819,0
aa43,4,11,49.82823,0
aa43,4,10,8.728305,0
aa1b,1,3,53.03709,0
aa44,1,3,50.48858,0
aa1a,3,6,59.89942,0
aa1a,2,3,29.41393,0
aa44,2,3,53.57468,0
aa19,2,3,55.70294,0
aa45,1,3,50.25259,0
aa19,3,6,52.35389,0
aa19,4,10,18.50079,0
aa45,0,6,53.62829,0
